term,document_frequency,idf
partum,6,3.0243817644968085
vaso,14,2.262241712449912
enfouir,1,4.277144732992177
malfaisance,3,3.583997552432231
lhmopathi,1,4.277144732992177
dhmodialyse,3,3.583997552432231
bibliographie,16,2.137078569495906
dmonstratives,1,4.277144732992177
manquant,1,4.277144732992177
reaction,5,3.178532444324067
conservateur,10,2.5723966407537513
dreyfuss,1,4.277144732992177
dinositol,1,4.277144732992177
dhmopathie,2,3.8716796248840124
tldiastoliqu,10,2.5723966407537513
silybine,1,4.277144732992177
tomopathologiqu,5,3.178532444324067
thymectomie,1,4.277144732992177
danhauser,1,4.277144732992177
tomidat,2,3.8716796248840124
simposer,2,3.8716796248840124
gale,36,1.3593740009078974
thories,1,4.277144732992177
leuropean,4,3.3608540011180215
neutrophile,10,2.5723966407537513
quitter,6,3.0243817644968085
vrg,1,4.277144732992177
surg,3,3.583997552432231
adquat,19,1.9745596399981307
vtri,1,4.277144732992177
mthodologique,23,1.7922380832041762
rfrerer,1,4.277144732992177
lemporte,1,4.277144732992177
flou,8,2.7730673362159024
daugmentation,12,2.4053425560905852
guidelines,3,3.583997552432231
gntiquer,1,4.277144732992177
poidscorrig,1,4.277144732992177
croyance,1,4.277144732992177
dnombre,2,3.8716796248840124
scarlatine,1,4.277144732992177
grill,2,3.8716796248840124
amins,11,2.4853852637641216
coiling,1,4.277144732992177
ment,1,4.277144732992177
amaurose,1,4.277144732992177
ylactod,1,4.277144732992177
nomycine,3,3.583997552432231
froguel,1,4.277144732992177
cli,1,4.277144732992177
diffrentielle,2,3.8716796248840124
dimpact,7,2.890850371872286
lenseignement,3,3.583997552432231
etunit,2,3.8716796248840124
nm,2,3.8716796248840124
azathioprine,6,3.0243817644968085
venturiceinture,1,4.277144732992177
mcaniqueinhalational,1,4.277144732992177
pelosi,3,3.583997552432231
ulm,1,4.277144732992177
envenimer,2,3.8716796248840124
inquiet,2,3.8716796248840124
difficile,52,1.0
mmole,1,4.277144732992177
superficiel,14,2.262241712449912
sapproprier,1,4.277144732992177
dentition,1,4.277144732992177
lavocat,1,4.277144732992177
ertapnme,1,4.277144732992177
rsentation,1,4.277144732992177
crniens,3,3.583997552432231
instructeur,1,4.277144732992177
antiprotinase,1,4.277144732992177
hmaturie,6,3.0243817644968085
felty,1,4.277144732992177
talmologie,1,4.277144732992177
rcus,5,3.178532444324067
mattison,1,4.277144732992177
ent,15,2.197703191312341
recommendation,5,3.178532444324067
dchocardiogra,1,4.277144732992177
myloculture,1,4.277144732992177
drpanocytair,2,3.8716796248840124
urgence,45,1.141650517063027
limpdance,1,4.277144732992177
dysoxi,1,4.277144732992177
parillo,2,3.8716796248840124
cooperativ,2,3.8716796248840124
frer,1,4.277144732992177
gamter,1,4.277144732992177
loxaliplatine,1,4.277144732992177
doccupation,1,4.277144732992177
centimtr,1,4.277144732992177
esb,1,4.277144732992177
despce,4,3.3608540011180215
sang,42,1.2090917978585594
lach,1,4.277144732992177
dhydroc,1,4.277144732992177
rfractaire,17,2.079920155655957
parentsenfant,1,4.277144732992177
rationnel,22,1.8347976976229723
obligation,15,2.197703191312341
dehodg,1,4.277144732992177
hmatopose,1,4.277144732992177
eaubonne,2,3.8716796248840124
humanis,1,4.277144732992177
aminophylline,1,4.277144732992177
enclouage,1,4.277144732992177
tatt,1,4.277144732992177
rumac,2,3.8716796248840124
conjonctival,2,3.8716796248840124
dsdation,1,4.277144732992177
roxithromycine,1,4.277144732992177
prcordialgie,1,4.277144732992177
stris,4,3.3608540011180215
capnographie,3,3.583997552432231
emment,4,3.3608540011180215
diastole,11,2.4853852637641216
mira,2,3.8716796248840124
reprsentaient,11,2.4853852637641216
cheveux,1,4.277144732992177
etasp,1,4.277144732992177
desmaze,1,4.277144732992177
vancorsistance,1,4.277144732992177
cefixime,1,4.277144732992177
numriqu,4,3.3608540011180215
dosage,38,1.3067302674224754
amanitine,1,4.277144732992177
multivarie,18,2.0258529343856813
atud,1,4.277144732992177
carrefour,4,3.3608540011180215
sphriqu,1,4.277144732992177
fdr,2,3.8716796248840124
ation,3,3.583997552432231
hemodynamique,1,4.277144732992177
deslymphocyte,1,4.277144732992177
derm,1,4.277144732992177
pseudomonasaeruginosa,3,3.583997552432231
phaseiiib,1,4.277144732992177
fr,3,3.583997552432231
euglycmiqu,2,3.8716796248840124
sonoheart,1,4.277144732992177
noxoparine,1,4.277144732992177
captim,2,3.8716796248840124
distingu,4,3.3608540011180215
risdall,1,4.277144732992177
schmatiqu,9,2.667706820558076
il,4,3.3608540011180215
ratomes,1,4.277144732992177
traumatisant,1,4.277144732992177
anal,2,3.8716796248840124
rfugis,1,4.277144732992177
hypoviscosit,1,4.277144732992177
myocardit,5,3.178532444324067
ledta,1,4.277144732992177
aughlin,1,4.277144732992177
automatic,1,4.277144732992177
mycoplasme,6,3.0243817644968085
upre,1,4.277144732992177
rienne,1,4.277144732992177
arodynamiqu,1,4.277144732992177
irrsistibl,1,4.277144732992177
prfr,5,3.178532444324067
micromthod,1,4.277144732992177
antipyrtiqu,1,4.277144732992177
mthotrexateinfliximab,1,4.277144732992177
lhmosidrin,1,4.277144732992177
retrouver,49,1.0582689081239758
activs,3,3.583997552432231
jamal,1,4.277144732992177
recollement,1,4.277144732992177
generaliss,1,4.277144732992177
lcran,3,3.583997552432231
resynchronisation,1,4.277144732992177
antiplaquettaire,2,3.8716796248840124
constitutionnel,6,3.0243817644968085
plong,1,4.277144732992177
signification,18,2.0258529343856813
mousseux,1,4.277144732992177
douze,5,3.178532444324067
sarcodose,2,3.8716796248840124
laid,24,1.7514160886839212
temporairement,5,3.178532444324067
rticulum,3,3.583997552432231
calculations,1,4.277144732992177
ovin,2,3.8716796248840124
rigoureusement,7,2.890850371872286
deuxmodalit,1,4.277144732992177
norcepteurs,1,4.277144732992177
rythropos,3,3.583997552432231
dama,1,4.277144732992177
sassocient,4,3.3608540011180215
lk,1,4.277144732992177
hasardeux,5,3.178532444324067
drecrute,1,4.277144732992177
pnicilllin,1,4.277144732992177
nintroduir,1,4.277144732992177
correctionnel,4,3.3608540011180215
lintern,1,4.277144732992177
dintoxication,6,3.0243817644968085
rabecb,1,4.277144732992177
jhovah,4,3.3608540011180215
galiacy,1,4.277144732992177
autopsi,1,4.277144732992177
cumuler,5,3.178532444324067
antitrypsine,2,3.8716796248840124
fowler,2,3.8716796248840124
tal,29,1.5690945318899665
couche,16,2.137078569495906
myomtr,1,4.277144732992177
secours,4,3.3608540011180215
itaxelbevacizumab,1,4.277144732992177
entreprendre,25,1.7121953755306398
diverticulite,1,4.277144732992177
linjection,17,2.079920155655957
condamn,4,3.3608540011180215
hdi,2,3.8716796248840124
greenblatt,1,4.277144732992177
alli,1,4.277144732992177
engerix,1,4.277144732992177
valaci,1,4.277144732992177
corticotherapy,1,4.277144732992177
attribuer,21,1.879249460193806
hc,2,3.8716796248840124
rythrocytair,3,3.583997552432231
dclaration,4,3.3608540011180215
shock,5,3.178532444324067
interprte,12,2.4053425560905852
panrsistance,1,4.277144732992177
frre,1,4.277144732992177
rhne,2,3.8716796248840124
uguraler,1,4.277144732992177
sternum,1,4.277144732992177
godinne,1,4.277144732992177
endormir,2,3.8716796248840124
apprendre,10,2.5723966407537513
prjudiciable,2,3.8716796248840124
monodrivation,1,4.277144732992177
rotation,11,2.4853852637641216
cartilagineux,2,3.8716796248840124
particip,11,2.4853852637641216
ramsay,4,3.3608540011180215
pepintrinsqu,3,3.583997552432231
notorit,1,4.277144732992177
ccnam,1,4.277144732992177
nitenberg,2,3.8716796248840124
aids,3,3.583997552432231
intracrnien,5,3.178532444324067
cub,2,3.8716796248840124
atlectasique,1,4.277144732992177
prothrombine,7,2.890850371872286
trahison,1,4.277144732992177
universit,35,1.3867729750960118
bdpartement,5,3.178532444324067
hsp,2,3.8716796248840124
blaste,1,4.277144732992177
anzic,1,4.277144732992177
thrombolastogramme,1,4.277144732992177
contrevenir,2,3.8716796248840124
fermet,1,4.277144732992177
labdomen,8,2.7730673362159024
dcanulation,1,4.277144732992177
preference,1,4.277144732992177
armacodynamique,1,4.277144732992177
unit,40,1.256719846847814
ingrabl,1,4.277144732992177
task,1,4.277144732992177
lectroneurogramm,1,4.277144732992177
laser,6,3.0243817644968085
demaladies,1,4.277144732992177
vulnrer,1,4.277144732992177
proxima,1,4.277144732992177
serein,2,3.8716796248840124
lindemnisation,1,4.277144732992177
nomnes,1,4.277144732992177
dhomicid,3,3.583997552432231
commissure,1,4.277144732992177
capsulolenticulair,1,4.277144732992177
ccnu,1,4.277144732992177
eng,2,3.8716796248840124
pspa,1,4.277144732992177
bel,6,3.0243817644968085
lancienn,1,4.277144732992177
rhumatism,1,4.277144732992177
jennett,1,4.277144732992177
ctor,1,4.277144732992177
encyclidin,1,4.277144732992177
complmentcoagulationfibrinolyse,1,4.277144732992177
mabtherer,1,4.277144732992177
homologie,1,4.277144732992177
randomised,1,4.277144732992177
ombre,4,3.3608540011180215
pnicillinesa,1,4.277144732992177
anesthsiqu,13,2.331234583936863
tobin,4,3.3608540011180215
llctroenc,1,4.277144732992177
affine,2,3.8716796248840124
iniquement,17,2.079920155655957
observe,1,4.277144732992177
lamivudin,1,4.277144732992177
approchesrespiratory,1,4.277144732992177
mulhouse,1,4.277144732992177
prpondrer,8,2.7730673362159024
paralysis,1,4.277144732992177
aud,8,2.7730673362159024
oaca,1,4.277144732992177
prcautier,4,3.3608540011180215
british,3,3.583997552432231
primo,5,3.178532444324067
clo,2,3.8716796248840124
aggraver,38,1.3067302674224754
traabilit,6,3.0243817644968085
gnosique,1,4.277144732992177
nettoy,2,3.8716796248840124
levetiracetam,1,4.277144732992177
niqu,1,4.277144732992177
validit,22,1.8347976976229723
maniabilit,2,3.8716796248840124
honconduct,1,4.277144732992177
doptimalisation,1,4.277144732992177
lextubation,6,3.0243817644968085
bob,1,4.277144732992177
sidro,2,3.8716796248840124
delamaladie,2,3.8716796248840124
anglais,20,1.925769475828699
question,52,1.0
bug,1,4.277144732992177
prjuger,8,2.7730673362159024
daccs,5,3.178532444324067
guanine,1,4.277144732992177
nitroglycrine,3,3.583997552432231
prparatif,1,4.277144732992177
ttradcanoyl,1,4.277144732992177
automn,1,4.277144732992177
daccrotr,1,4.277144732992177
source,38,1.3067302674224754
devie,2,3.8716796248840124
magill,1,4.277144732992177
concentrer,14,2.262241712449912
oral,34,1.414943852062708
sassocie,1,4.277144732992177
accentuation,3,3.583997552432231
courage,2,3.8716796248840124
hubmayr,1,4.277144732992177
lourd,32,1.4737843520856415
glosso,1,4.277144732992177
exhaustif,26,1.6744550475477928
molculer,2,3.8716796248840124
cristal,5,3.178532444324067
cryoprser,1,4.277144732992177
ladjectif,2,3.8716796248840124
perfluorocarbon,1,4.277144732992177
brevet,1,4.277144732992177
invasiveupper,1,4.277144732992177
gliss,1,4.277144732992177
posterior,1,4.277144732992177
bruder,1,4.277144732992177
ame,3,3.583997552432231
dtersion,1,4.277144732992177
fe,6,3.0243817644968085
basiliximab,1,4.277144732992177
oriner,1,4.277144732992177
tromper,1,4.277144732992177
merit,1,4.277144732992177
wfn,1,4.277144732992177
bell,1,4.277144732992177
ire,32,1.4737843520856415
brivaracetam,1,4.277144732992177
glatineus,1,4.277144732992177
mpoh,1,4.277144732992177
oppert,1,4.277144732992177
bilober,1,4.277144732992177
abrasion,2,3.8716796248840124
adiastolie,1,4.277144732992177
atropinique,3,3.583997552432231
rectitude,1,4.277144732992177
dleucocyts,2,3.8716796248840124
typeb,1,4.277144732992177
utaires,5,3.178532444324067
desinterface,1,4.277144732992177
lhorus,1,4.277144732992177
dobjectif,5,3.178532444324067
tchqu,2,3.8716796248840124
normoglycmie,1,4.277144732992177
concordance,8,2.7730673362159024
accident,41,1.2326222952687536
influenza,8,2.7730673362159024
prcocement,24,1.7514160886839212
dfr,1,4.277144732992177
cell,33,1.4439313889359604
qualifier,14,2.262241712449912
ralentie,1,4.277144732992177
bes,2,3.8716796248840124
privalvulaire,1,4.277144732992177
immunoglobulinesg,1,4.277144732992177
dadopter,1,4.277144732992177
ralison,1,4.277144732992177
enpratiqu,1,4.277144732992177
moteur,27,1.6380874033769177
rivard,1,4.277144732992177
rtiniens,1,4.277144732992177
dabondance,1,4.277144732992177
vancostenobel,1,4.277144732992177
riche,22,1.8347976976229723
mriteront,1,4.277144732992177
capter,5,3.178532444324067
keyword,1,4.277144732992177
rage,2,3.8716796248840124
cardiologi,13,2.331234583936863
inclus,14,2.262241712449912
ouverturefermeture,1,4.277144732992177
rception,3,3.583997552432231
doctorant,1,4.277144732992177
nenglober,1,4.277144732992177
doligo,1,4.277144732992177
roli,1,4.277144732992177
consquente,2,3.8716796248840124
mitomycin,1,4.277144732992177
mticilline,6,3.0243817644968085
perlecan,1,4.277144732992177
mytlaset,1,4.277144732992177
lactamas,1,4.277144732992177
indosable,1,4.277144732992177
slective,4,3.3608540011180215
dcrivon,1,4.277144732992177
conviction,5,3.178532444324067
vim,2,3.8716796248840124
caramboler,1,4.277144732992177
laborer,7,2.890850371872286
immunocompromised,1,4.277144732992177
lhabilet,1,4.277144732992177
ngociation,2,3.8716796248840124
hydrosoluble,6,3.0243817644968085
envoi,4,3.3608540011180215
claviculaire,1,4.277144732992177
lgislatives,1,4.277144732992177
meningitidi,1,4.277144732992177
annexe,8,2.7730673362159024
ologique,8,2.7730673362159024
imprcis,1,4.277144732992177
soute,3,3.583997552432231
ysiologiquemer,1,4.277144732992177
lendoscope,1,4.277144732992177
hanch,1,4.277144732992177
surl,5,3.178532444324067
confusionnel,7,2.890850371872286
englober,6,3.0243817644968085
assujettissement,1,4.277144732992177
linnervation,2,3.8716796248840124
recognition,1,4.277144732992177
sobserv,2,3.8716796248840124
reprsentati,1,4.277144732992177
entits,4,3.3608540011180215
mycophnolate,1,4.277144732992177
plaquettairehparin,1,4.277144732992177
prster,1,4.277144732992177
iib,3,3.583997552432231
oudetoxiqu,1,4.277144732992177
constellation,1,4.277144732992177
agien,6,3.0243817644968085
monoclo,3,3.583997552432231
polynuclose,1,4.277144732992177
privilgier,18,2.0258529343856813
yse,2,3.8716796248840124
contredit,1,4.277144732992177
ile,9,2.667706820558076
tec,1,4.277144732992177
pyridoxin,2,3.8716796248840124
chographique,6,3.0243817644968085
enterm,1,4.277144732992177
armacologiques,6,3.0243817644968085
crico,1,4.277144732992177
paludisme,3,3.583997552432231
polynvriter,1,4.277144732992177
abo,3,3.583997552432231
vsical,2,3.8716796248840124
tiologier,21,1.879249460193806
pharmacocintique,7,2.890850371872286
meaux,1,4.277144732992177
mdicaliss,3,3.583997552432231
rostral,1,4.277144732992177
surcompensation,2,3.8716796248840124
prdcesseurs,1,4.277144732992177
calquer,2,3.8716796248840124
fld,1,4.277144732992177
bellomo,1,4.277144732992177
saccroissent,2,3.8716796248840124
priv,5,3.178532444324067
asprit,1,4.277144732992177
aurgence,1,4.277144732992177
neuroscience,1,4.277144732992177
part,46,1.1201443118420633
troisan,3,3.583997552432231
digitali,1,4.277144732992177
lactat,4,3.3608540011180215
exploser,1,4.277144732992177
invasivemot,1,4.277144732992177
analogie,3,3.583997552432231
randomiss,28,1.6029960835656478
apparition,33,1.4439313889359604
fnoprofn,1,4.277144732992177
disciplinaire,1,4.277144732992177
dglutir,2,3.8716796248840124
cp,10,2.5723966407537513
ayser,1,4.277144732992177
torsion,3,3.583997552432231
bactriostatiqu,3,3.583997552432231
veinoveineus,4,3.3608540011180215
lucide,3,3.583997552432231
oligodendrocyte,1,4.277144732992177
aerogen,1,4.277144732992177
hpbm,1,4.277144732992177
urmique,2,3.8716796248840124
chodoppler,2,3.8716796248840124
ness,3,3.583997552432231
dhypodensits,1,4.277144732992177
ned,1,4.277144732992177
fente,1,4.277144732992177
crystal,1,4.277144732992177
fracture,11,2.4853852637641216
contraire,38,1.3067302674224754
gastroduod,2,3.8716796248840124
bloc,30,1.5363047090669757
systoliquec,1,4.277144732992177
transso,8,2.7730673362159024
symptomatique,35,1.3867729750960118
irremplaable,1,4.277144732992177
dehors,47,1.099090902644231
diba,1,4.277144732992177
terrain,32,1.4737843520856415
concret,4,3.3608540011180215
lestime,1,4.277144732992177
syntitial,1,4.277144732992177
ttot,5,3.178532444324067
diffrentes,4,3.3608540011180215
conoit,12,2.4053425560905852
mthylenedioxyam,1,4.277144732992177
sodique,8,2.7730673362159024
conteur,1,4.277144732992177
dacidification,1,4.277144732992177
autosutur,1,4.277144732992177
paradoxalement,12,2.4053425560905852
butyro,1,4.277144732992177
maltophilier,1,4.277144732992177
consensuset,1,4.277144732992177
volet,6,3.0243817644968085
hyperalgique,1,4.277144732992177
langerhansienne,1,4.277144732992177
infliximab,2,3.8716796248840124
compre,11,2.4853852637641216
hmicorporel,1,4.277144732992177
contractuellement,1,4.277144732992177
ers,5,3.178532444324067
douglass,1,4.277144732992177
ren,3,3.583997552432231
directi,1,4.277144732992177
clonag,2,3.8716796248840124
rsonance,6,3.0243817644968085
dfavorablemer,1,4.277144732992177
metaisc,1,4.277144732992177
slectif,13,2.331234583936863
intercurrente,2,3.8716796248840124
mcon,9,2.667706820558076
neuropsychologie,1,4.277144732992177
prexistaient,1,4.277144732992177
toirer,3,3.583997552432231
miltri,2,3.8716796248840124
carcinose,1,4.277144732992177
kcal,3,3.583997552432231
citoyen,6,3.0243817644968085
dcomposer,2,3.8716796248840124
synchroniser,5,3.178532444324067
subnormal,2,3.8716796248840124
cortico,3,3.583997552432231
product,2,3.8716796248840124
marcel,1,4.277144732992177
prdtermins,1,4.277144732992177
josep,1,4.277144732992177
leurefficacit,1,4.277144732992177
chinois,3,3.583997552432231
had,2,3.8716796248840124
volumique,3,3.583997552432231
perspectif,28,1.6029960835656478
lactylcholinestrase,1,4.277144732992177
metabolism,1,4.277144732992177
avecsoh,1,4.277144732992177
vdphy,1,4.277144732992177
analyste,1,4.277144732992177
primsenc,1,4.277144732992177
ventilateurt,1,4.277144732992177
oxacillinegentamicine,1,4.277144732992177
quel,51,1.0190481949706944
inui,1,4.277144732992177
renaulta,1,4.277144732992177
apreciou,1,4.277144732992177
mergenc,7,2.890850371872286
sacrifiabl,1,4.277144732992177
cortisonique,4,3.3608540011180215
quatreheure,1,4.277144732992177
pressuri,1,4.277144732992177
neuronal,5,3.178532444324067
parapneumonique,1,4.277144732992177
dinjection,6,3.0243817644968085
arte,1,4.277144732992177
dincidence,5,3.178532444324067
paisse,1,4.277144732992177
compliance,26,1.6744550475477928
ferritinmie,2,3.8716796248840124
ofapatient,1,4.277144732992177
dlicatesse,2,3.8716796248840124
biothrapies,1,4.277144732992177
soxyder,1,4.277144732992177
cox,6,3.0243817644968085
imagin,2,3.8716796248840124
convaincant,11,2.4853852637641216
lepronostic,1,4.277144732992177
secouriste,1,4.277144732992177
fortheprevention,1,4.277144732992177
scissurite,1,4.277144732992177
servovalve,1,4.277144732992177
dantroln,4,3.3608540011180215
sjour,38,1.3067302674224754
darosols,2,3.8716796248840124
autoamplifi,1,4.277144732992177
unmillion,1,4.277144732992177
dappoint,3,3.583997552432231
stnosant,1,4.277144732992177
apoenzyme,1,4.277144732992177
concentrationdpendant,1,4.277144732992177
lasservissement,1,4.277144732992177
rave,1,4.277144732992177
antagonisme,2,3.8716796248840124
quanta,1,4.277144732992177
expliquer,49,1.0582689081239758
transthyrtin,1,4.277144732992177
ionisant,2,3.8716796248840124
assistant,5,3.178532444324067
umin,1,4.277144732992177
swanepoel,1,4.277144732992177
somnifrer,1,4.277144732992177
variole,1,4.277144732992177
infarctus,25,1.7121953755306398
aminotrans,1,4.277144732992177
prdfini,1,4.277144732992177
